gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3864881645	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46419?seid=4604956	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46419		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:30.898Z		INSTITUTION_MATCH_FUZZY
3864881644	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46444?seid=4605137	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46444		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:30.899Z		INSTITUTION_MATCH_FUZZY
3864881042	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46398?seid=4605103	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46398		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:30.732Z		INSTITUTION_MATCH_FUZZY
3864880566	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46445?seid=4605138	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46445		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:30.595Z		INSTITUTION_MATCH_FUZZY
3864880356	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46423?seid=4605116	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46423		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:30.531Z		INSTITUTION_MATCH_FUZZY
3864879085	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46402?seid=4605106	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46402		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:30.187Z		INSTITUTION_MATCH_FUZZY
3864877640	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46433?seid=4605126	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46433		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:29.675Z		INSTITUTION_MATCH_FUZZY
3864877516	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46408?seid=4605112	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46408		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:29.629Z		INSTITUTION_MATCH_FUZZY
3864876844	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46415?seid=4604952	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46415		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:29.463Z		INSTITUTION_MATCH_FUZZY
3864875247	847aa410-f762-11e1-a439-00145eb45e9a	http://arctos.database.museum/guid/BYU:Herp:46418?seid=4604955	Animalia	Chordata	Squamata		Anguidae	Abronia	Abronia graminea		SPECIES	Abronia graminea (Cope, 1864)	Abronia graminea		MX	Vincinity of Puerto del Aire, Cumbres de Acultzingo.	Veracruz	PRESENT		fd70f580-4ce2-11db-b80e-b8a03c50a862									1993-05-10T00:00:00	10	5	1993	5226604	5226604	PRESERVED_SPECIMEN	BYU	Herp	BYU:Herp:46418		John Ottley	1993-05-10T00:00:00	CC_BY_NC_4_0		Collector(s): John Ottley			2022-11-25T06:45:28.954Z		INSTITUTION_MATCH_FUZZY
