gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,ID_ntb,dataID
1895769269,7fee23ae-f762-11e1-a439-00145eb45e9a,urn:catalog:EB-BUAP:EBUAP:723:6bcb9c29d48b5392bfb48846c401b116,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"APROX 8 KM AL SW DE ZOQUITLAN, CERCA DE LA DESVIACION A TEPEYOLO",Puebla,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.3020694122765,-97.0536687136808,,,1342.5,1342.5,0,0,1996-06-20T00:00:00Z,20,6,1996,5226604,5226604,PRESERVED_SPECIMEN,EB-BUAP,EBUAP,723,"",LCM,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),LCM,,"",2022-11-25T06:12:22Z,"",COORDINATE_ROUNDED;COORDINATE_REPROJECTED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,165,ID: 165
1894927772,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FMNH:FMNH:111771-798:57715f94f9f8713ca560da09dbb9ad22,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"CUMBRES, LAS,  ABOVE ACULTZINGO",Veracruz de ignacio de la llave,PRESENT,28,ff90b050-c256-11db-b71b-b8a03c50a862,18.775,-97.358333,90,,0,0,0,0,1941-01-01T00:00:00Z,,,1941,5226604,5226604,PRESERVED_SPECIMEN,FMNH,FMNH,111771-798,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,"",2022-11-25T06:12:47Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY,180,ID: 180
1894927768,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FMNH:FMNH:106538:6de178a8735971afb3b8fc3994d50f53,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Cumbres de Acultzingo,Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.775,-97.358333,90,,0,0,0,0,1941-01-01T00:00:00Z,,,1941,5226604,5226604,PRESERVED_SPECIMEN,FMNH,FMNH,106538,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),E.H. Taylor,,"",2022-11-25T06:12:36Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY,182,ID: 182
1894927747,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FC-UNAM:MZFC:4293:22463c831787f09fe7fc258266a815d9,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Puerto del Aire,Puebla,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.658333,-97.391667,90,,0,0,0,0,1988-07-09T00:00:00Z,9,7,1988,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,4293,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),VICTOR ROBLEDO,,"",2022-11-25T06:12:48Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,189,ID: 189
1894927736,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FC-UNAM:MZFC:5032:8cc9184d566b69dfe73f8b3dd652e539,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"JOYA, LA",Veracruz de ignacio de la llave,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.608333,-97.041667,80,,0,0,0,0,1991-05-01T00:00:00Z,,5,1991,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,5032,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Walter Schmidt Ballardo,,"",2022-11-25T06:12:52Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,192,ID: 192
1894927725,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FMNH:FMNH:103214-215:8c14e644d7beb130f87bbd738e0c5d1b,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"JOYA, LA",Veracruz de ignacio de la llave,PRESENT,2,ff90b050-c256-11db-b71b-b8a03c50a862,19.608333,-97.041667,80,,0,0,0,0,1941-08-16T00:00:00Z,16,8,1941,5226604,5226604,PRESERVED_SPECIMEN,FMNH,FMNH,103214-215,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),E.H. Taylor,,"",2022-11-25T06:12:38Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY,195,ID: 195
1894927687,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:FC-UNAM:MZFC:4124:71a00772e9bcc2eff1c2a3a6fb72f881,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,"PUERTO DEL AIRE, 1 KM S",Puebla,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,18.658333,-97.391667,90,,0,0,0,0,1988-08-10T00:00:00Z,10,8,1988,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,4124,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),FRANCISCO SOBERON MOBARAK,,"",2022-11-25T06:12:36Z,"",COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,206,ID: 206
1894886256,cf6ee0a4-cde8-4983-882c-a6e4d2f7de7e,urn:catalog:FC-UNAM:MZFC:s-n:ff7099d2367512ee7f822058a4c9d2e5,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Sierra Negra,Puebla,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,19.133333,-97.378,80,,1345,1345,0,0,2002-08-04T00:00:00Z,4,8,2002,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,s-n,"",Jonathan A. Campbell,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Jonathan Campbell,,"",2022-11-25T10:42:07Z,"",COORDINATE_ROUNDED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE,209,ID: 209
1894886245,cf6ee0a4-cde8-4983-882c-a6e4d2f7de7e,urn:catalog:FC-UNAM:MZFC:MZFC7816:babbca4956c525bdaa4b640c546b1cca,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,Tepeyahualco,Puebla,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,19.493,-97.486,80,,1135,1135,0,0,1995-09-26T00:00:00Z,26,9,1995,5226604,5226604,PRESERVED_SPECIMEN,FC-UNAM,MZFC,MZFC7816,"",Walter Schmidt Ballardo,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Walter Schmidt Ballardo,,"",2022-11-25T10:42:10Z,"",ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE,210,ID: 210
1894859728,7ff48302-f762-11e1-a439-00145eb45e9a,urn:catalog:MVZ-UCB:MVZ:146941-146943:fcbec4dd9448c153ee04d498bb8f1682,Animalia,Chordata,Squamata,,Anguidae,Abronia,Abronia graminea,,SPECIES,"Abronia graminea (Cope, 1864)",Abronia graminea,"(Cope, 1864)",MX,4.2 MI. W (POR LA CA.150) Y O.5 MI. E DE ACULTZINGO,Veracruz de ignacio de la llave,PRESENT,3,ff90b050-c256-11db-b71b-b8a03c50a862,18.7081,-97.33723,3110,,0,0,0,0,1977-01-01T00:00:00Z,,,1977,5226604,5226604,PRESERVED_SPECIMEN,MVZ-UCB,MVZ,146941-146943,"",NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,"",2022-11-25T06:12:34Z,"",RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,216,ID: 216
